Make_x,Model,New Price,Decay Coeff,Fit R2,Half-life,Make_y,Body,Listings
Dodge,Grand Caravan,21205,0.117,0.675,5.92,Dodge,Van,391
Dodge,Journey,24332,0.137,0.738,5.06,Dodge,SUV,407
Dodge,Ram 1500 Truck,45693,0.117,0.477,5.92,Dodge,Truck,376
Dodge,Ram 2500 Truck,51504,0.07,0.193,9.96,Dodge,Truck,203
Dodge,Ram 3500 Truck,51556,0.068,0.122,10.15,Dodge,Truck,70
Dodge,Sprinter,53778,0.108,0.406,6.42,Mercedes-BenzFreightlinerDodge,VanVanVan,370
FIAT,500,20854,0.154,0.458,4.51,FIATFIATFIAT,HatchbackConvertibleCoupe,110
Ferrari,F430,200000,0.028,0.008,24.5,FerrariFerrari,ConvertibleCoupe,72
Ford,Crown Victoria,18255,0.053,0.245,13.0,FordFord,SedanWagon,161
Ford,E-150 and Econoline 150,25414,0.093,0.441,7.43,Ford,Van,110
Ford,E-250 and Econoline 250,29905,0.115,0.472,6.03,Ford,Van,101
Ford,E-350 and Econoline 350,47508,0.129,0.62,5.36,FordFord,VanTruck,169
Ford,EcoSport,24907,0.1,0.067,6.95,Ford,SUV,147
Ford,Edge,37789,0.161,0.774,4.3,FordFord,SUVSedan,487
Ford,Escape,25382,0.125,0.629,5.54,Ford,SUV,686
Ford,Excursion,189606,0.164,0.209,4.22,Ford,SUV,75
Ford,Expedition,66979,0.205,0.912,3.38,FordFord,SUVTruck,326
Ford,Explorer,39612,0.145,0.847,4.78,Ford,SUV,793
